ID,RA,DEC,Z,Radius_Mpc,Density_Fraction,Effective_Radius_deg,Catalog_Source
17772,,,,45.64,,1.46048,SDSS_DR12
16610,,,,70.769,,2.2646080000000004,SDSS_DR12
7635,,,,53.031,,1.696992,SDSS_DR12
15596,,,,53.332,,1.7066240000000001,SDSS_DR12
21868,,,,81.266,,2.600512,SDSS_DR12
15240,,,,58.47,,1.87104,SDSS_DR12
18106,,,,61.53,,1.96896,SDSS_DR12
6161,,,,73.905,,2.36496,SDSS_DR12
12467,,,,34.452,,1.1024639999999999,SDSS_DR12
12777,,,,41.955,,1.34256,SDSS_DR12
6214,,,,81.969,,2.623008,SDSS_DR12
21258,,,,51.295,,1.64144,SDSS_DR12
16016,,,,54.961,,1.758752,SDSS_DR12
8978,,,,48.582,,1.554624,SDSS_DR12
2628,,,,43.145,,1.38064,SDSS_DR12
16300,,,,41.397,,1.3247039999999999,SDSS_DR12
7685,,,,45.819,,1.4662080000000002,SDSS_DR12
5079,,,,58.408,,1.869056,SDSS_DR12
17908,,,,55.564,,1.778048,SDSS_DR12
13604,,,,39.316,,1.2581120000000001,SDSS_DR12
14869,,,,77.786,,2.4891520000000003,SDSS_DR12
20938,,,,58.744,,1.879808,SDSS_DR12
14851,,,,58.23,,1.86336,SDSS_DR12
19902,,,,45.184,,1.4458879999999998,SDSS_DR12
310,,,,51.302,,1.641664,SDSS_DR12
3298,,,,35.036,,1.1211520000000001,SDSS_DR12
17314,,,,59.485,,1.90352,SDSS_DR12
21443,,,,62.104,,1.987328,SDSS_DR12
21788,,,,49.425,,1.5816,SDSS_DR12
4620,,,,31.513,,1.008416,SDSS_DR12
15466,,,,35.907,,1.1490239999999998,SDSS_DR12
2236,,,,40.499,,1.295968,SDSS_DR12
18030,,,,77.419,,2.477408,SDSS_DR12
46,,,,36.28,,1.16096,SDSS_DR12
9757,,,,52.042,,1.6653440000000002,SDSS_DR12
14993,,,,43.059,,1.377888,SDSS_DR12
17178,,,,61.185,,1.95792,SDSS_DR12
15273,,,,59.347,,1.8991040000000001,SDSS_DR12
13551,,,,54.388,,1.740416,SDSS_DR12
22014,,,,64.425,,2.0616,SDSS_DR12
18624,,,,67.001,,2.144032,SDSS_DR12
17698,,,,59.386,,1.900352,SDSS_DR12
21112,,,,67.514,,2.1604479999999997,SDSS_DR12
17146,,,,41.248,,1.319936,SDSS_DR12
13605,,,,68.757,,2.2002240000000004,SDSS_DR12
15191,,,,86.374,,2.7639679999999998,SDSS_DR12
8920,,,,70.463,,2.254816,SDSS_DR12
11196,,,,43.811,,1.401952,SDSS_DR12
6231,,,,64.422,,2.061504,SDSS_DR12
13181,,,,49.488,,1.583616,SDSS_DR12
1253,,,,44.935,,1.43792,SDSS_DR12
21702,,,,67.235,,2.15152,SDSS_DR12
16506,,,,69.465,,2.22288,SDSS_DR12
7409,,,,35.366,,1.131712,SDSS_DR12
15953,,,,37.162,,1.189184,SDSS_DR12
1171,,,,31.619,,1.011808,SDSS_DR12
14212,,,,41.315,,1.32208,SDSS_DR12
21437,,,,47.026,,1.5048320000000002,SDSS_DR12
12627,,,,31.373,,1.0039360000000002,SDSS_DR12
22230,,,,47.64,,1.52448,SDSS_DR12
20209,,,,104.126,,3.3320320000000003,SDSS_DR12
7075,,,,47.071,,1.506272,SDSS_DR12
19903,,,,46.713,,1.4948160000000001,SDSS_DR12
2616,,,,37.911,,1.213152,SDSS_DR12
283,,,,40.695,,1.30224,SDSS_DR12
21819,,,,60.675,,1.9416,SDSS_DR12
19995,,,,66.953,,2.142496,SDSS_DR12
12018,,,,80.26,,2.5683200000000004,SDSS_DR12
14367,,,,72.994,,2.335808,SDSS_DR12
17851,,,,65.102,,2.0832640000000002,SDSS_DR12
6576,,,,36.208,,1.158656,SDSS_DR12
15190,,,,52.815,,1.69008,SDSS_DR12
21899,,,,67.491,,2.159712,SDSS_DR12
14868,,,,55.475,,1.7752000000000001,SDSS_DR12
21759,,,,53.902,,1.7248640000000002,SDSS_DR12
11147,,,,34.223,,1.0951359999999999,SDSS_DR12
17114,,,,24.142,,0.772544,SDSS_DR12
17405,,,,57.522,,1.840704,SDSS_DR12
11926,,,,44.551,,1.425632,SDSS_DR12
9689,,,,64.906,,2.076992,SDSS_DR12
4723,,,,63.38,,2.02816,SDSS_DR12
970,,,,60.886,,1.948352,SDSS_DR12
18083,,,,67.72,,2.16704,SDSS_DR12
4860,,,,23.926,,0.765632,SDSS_DR12
17072,,,,31.574,,1.0103680000000002,SDSS_DR12
17847,,,,53.152,,1.7008640000000002,SDSS_DR12
4875,,,,40.654,,1.300928,SDSS_DR12
1219,,,,51.2,,1.6384,SDSS_DR12
15447,,,,62.156,,1.988992,SDSS_DR12
7993,,,,54.212,,1.734784,SDSS_DR12
14866,,,,68.091,,2.178912,SDSS_DR12
21397,,,,38.101,,1.219232,SDSS_DR12
14840,,,,59.386,,1.900352,SDSS_DR12
13598,,,,52.788,,1.6892159999999998,SDSS_DR12
20250,,,,28.928,,0.9256960000000001,SDSS_DR12
14368,,,,48.248,,1.543936,SDSS_DR12
16021,,,,64.148,,2.052736,SDSS_DR12
9724,,,,59.161,,1.8931520000000002,SDSS_DR12
18739,,,,63.29,,2.02528,SDSS_DR12
22100,,,,82.288,,2.633216,SDSS_DR12
7247,,,,41.362,,1.323584,SDSS_DR12
19828,,,,40.242,,1.287744,SDSS_DR12
6575,,,,43.19,,1.38208,SDSS_DR12
19174,,,,54.512,,1.7443840000000002,SDSS_DR12
12019,,,,44.835,,1.43472,SDSS_DR12
11872,,,,45.356,,1.451392,SDSS_DR12
7976,,,,61.624,,1.9719680000000002,SDSS_DR12
12804,,,,39.198,,1.2543360000000001,SDSS_DR12
9083,,,,19.635,,0.6283200000000001,SDSS_DR12
9168,,,,54.875,,1.756,SDSS_DR12
21422,,,,51.662,,1.653184,SDSS_DR12
1943,,,,55.174,,1.765568,SDSS_DR12
3302,,,,53.148,,1.7007360000000002,SDSS_DR12
9052,,,,56.135,,1.79632,SDSS_DR12
8992,,,,56.644,,1.812608,SDSS_DR12
19817,,,,53.356,,1.707392,SDSS_DR12
7404,,,,53.905,,1.72496,SDSS_DR12
11932,,,,44.464,,1.422848,SDSS_DR12
17793,,,,50.278,,1.6088959999999999,SDSS_DR12
22741,,,,50.09,,1.60288,SDSS_DR12
14385,,,,34.876,,1.116032,SDSS_DR12
16512,,,,47.99,,1.5356800000000002,SDSS_DR12
16031,,,,47.325,,1.5144000000000002,SDSS_DR12
10595,,,,61.329,,1.962528,SDSS_DR12
22188,,,,52.561,,1.6819520000000001,SDSS_DR12
18504,,,,60.644,,1.9406079999999999,SDSS_DR12
19161,,,,51.02,,1.63264,SDSS_DR12
17926,,,,57.554,,1.841728,SDSS_DR12
19434,,,,40.494,,1.295808,SDSS_DR12
21271,,,,44.645,,1.4286400000000001,SDSS_DR12
10550,,,,29.444,,0.9422079999999999,SDSS_DR12
15116,,,,48.703,,1.558496,SDSS_DR12
21527,,,,35.578,,1.1384960000000002,SDSS_DR12
21677,,,,52.537,,1.681184,SDSS_DR12
7231,,,,30.984,,0.991488,SDSS_DR12
15569,,,,86.047,,2.753504,SDSS_DR12
12784,,,,56.327,,1.802464,SDSS_DR12
991,,,,47.993,,1.535776,SDSS_DR12
14660,,,,62.582,,2.002624,SDSS_DR12
19826,,,,61.544,,1.969408,SDSS_DR12
4007,,,,47.934,,1.533888,SDSS_DR12
17692,,,,53.746,,1.719872,SDSS_DR12
16643,,,,83.422,,2.669504,SDSS_DR12
19814,,,,55.716,,1.782912,SDSS_DR12
10596,,,,52.442,,1.678144,SDSS_DR12
17689,,,,38.111,,1.219552,SDSS_DR12
5074,,,,51.497,,1.647904,SDSS_DR12
17264,,,,65.292,,2.089344,SDSS_DR12
18592,,,,77.666,,2.485312,SDSS_DR12
20075,,,,42.486,,1.3595519999999999,SDSS_DR12
21754,,,,51.987,,1.6635840000000002,SDSS_DR12
15280,,,,39.461,,1.2627519999999999,SDSS_DR12
17623,,,,47.004,,1.504128,SDSS_DR12
17327,,,,79.79,,2.5532800000000004,SDSS_DR12
16321,,,,42.124,,1.347968,SDSS_DR12
20249,,,,36.238,,1.159616,SDSS_DR12
19423,,,,48.82,,1.56224,SDSS_DR12
17901,,,,60.569,,1.9382080000000002,SDSS_DR12
11055,,,,52.161,,1.669152,SDSS_DR12
15536,,,,45.839,,1.466848,SDSS_DR12
7759,,,,54.829,,1.754528,SDSS_DR12
12708,,,,37.711,,1.206752,SDSS_DR12
12173,,,,30.568,,0.978176,SDSS_DR12
17750,,,,77.837,,2.490784,SDSS_DR12
1168,,,,47.814,,1.530048,SDSS_DR12
15533,,,,56.35,,1.8032000000000001,SDSS_DR12
14435,,,,52.0,,1.6640000000000001,SDSS_DR12
9095,,,,27.278,,0.872896,SDSS_DR12
13394,,,,26.226,,0.839232,SDSS_DR12
16505,,,,63.315,,2.02608,SDSS_DR12
15353,,,,52.089,,1.6668479999999999,SDSS_DR12
12341,,,,59.968,,1.9189760000000002,SDSS_DR12
16580,,,,55.3,,1.7695999999999998,SDSS_DR12
14809,,,,77.932,,2.493824,SDSS_DR12
18198,,,,68.642,,2.196544,SDSS_DR12
21108,,,,54.259,,1.736288,SDSS_DR12
17756,,,,43.16,,1.38112,SDSS_DR12
22196,,,,50.033,,1.601056,SDSS_DR12
14972,,,,91.767,,2.936544,SDSS_DR12
1176,,,,17.151,,0.548832,SDSS_DR12
17708,,,,30.653,,0.980896,SDSS_DR12
8779,,,,59.982,,1.919424,SDSS_DR12
11210,,,,43.689,,1.398048,SDSS_DR12
18751,,,,48.215,,1.5428800000000003,SDSS_DR12
22307,,,,46.026,,1.4728320000000001,SDSS_DR12
12080,,,,53.767,,1.720544,SDSS_DR12
10838,,,,23.268,,0.744576,SDSS_DR12
18371,,,,45.207,,1.4466240000000001,SDSS_DR12
11892,,,,56.254,,1.800128,SDSS_DR12
12841,,,,72.932,,2.333824,SDSS_DR12
3520,,,,61.016,,1.952512,SDSS_DR12
21053,,,,74.638,,2.3884160000000003,SDSS_DR12
16741,,,,24.974,,0.799168,SDSS_DR12
16366,,,,33.381,,1.068192,SDSS_DR12
7668,,,,40.919,,1.309408,SDSS_DR12
13763,,,,59.551,,1.905632,SDSS_DR12
14846,,,,59.656,,1.908992,SDSS_DR12
13129,,,,57.094,,1.827008,SDSS_DR12
12867,,,,62.437,,1.997984,SDSS_DR12
1275,,,,49.701,,1.590432,SDSS_DR12
11400,,,,26.209,,0.838688,SDSS_DR12
11588,,,,47.468,,1.518976,SDSS_DR12
3707,,,,46.129,,1.4761279999999999,SDSS_DR12
4920,,,,34.089,,1.090848,SDSS_DR12
1361,,,,49.231,,1.5753920000000001,SDSS_DR12
21698,,,,54.65,,1.7488,SDSS_DR12
13028,,,,59.756,,1.9121920000000001,SDSS_DR12
12396,,,,29.896,,0.9566720000000001,SDSS_DR12
1223,,,,30.422,,0.973504,SDSS_DR12
1338,,,,57.668,,1.845376,SDSS_DR12
18663,,,,59.934,,1.917888,SDSS_DR12
12145,,,,52.017,,1.664544,SDSS_DR12
7639,,,,52.358,,1.6754559999999998,SDSS_DR12
15430,,,,39.112,,1.251584,SDSS_DR12
4293,,,,66.615,,2.13168,SDSS_DR12
